anchor,positive,negative
"Min tolong, kok pas login ke FinBuddy gak langsung ke dashboard sih? Aku bingung nyari",Apa yang harus dilakukan kalau dashboard gak muncul?,Bagaimana cara mereset kata sandi akun?
"Yang pake FinBuddy ada yang tau gak, kalau halaman utamanya nggak muncul itu salahnya di mana?",Kenapa dashboard saya kosong?,Bagaimana cara mereset kata sandi akun?
"Halo min, gimana sih cara nambahin data pemasukan di FinBuddy?",Bagaimana cara memasukkan data pendapatan?,"Bro, beda ngirit, normal, mewah apa sih?"
Ada yang tau gak caranya input uang masuk biar keliatan di dashboard?,Bagaimana cara memasukkan data pendapatan?,"Bro, beda ngirit, normal, mewah apa sih?"
"Mau tanya nih, kalau mau catat pendapatan di FinBuddy itu kliknya di mana ya?",Bagaimana cara memasukkan data pendapatan?,"Bro, beda ngirit, normal, mewah apa sih?"
"Yang udah pernah input pendapatan di FinBuddy, bisa kasih tau step by stepnya?",Bagaimana cara memasukkan data pendapatan?,"Bro, beda ngirit, normal, mewah apa sih?"
"Bro, aku bingung nih. Gimana cara daftarin uang masuk di aplikasi ini?",Bagaimana cara memasukkan data pendapatan?,"Bro, beda ngirit, normal, mewah apa sih?"
Gimana caranya kalau mau input pengeluaran per barang di FinBuddy?,Cara masukkan pengeluaran per item?,Apa maksud pie chart di dashboard?
"Ada yang tau gak, biar bisa catat belanja per-item di aplikasi ini?",Cara masukkan pengeluaran per item?,Pie chart di FinBuddy itu apa sih?
"Halo min, bisa jelasin gak cara nambahin pengeluaran satu-satu biar keliatan rinciannya?",Cara masukkan pengeluaran per item?,"Bro, grafik pie di dashboard ngapain?"
"Mau tanya, kalau beli banyak barang, gimana masukinnya biar terpisah-pisah per item?",Cara masukkan pengeluaran per item?,Kenapa dashboard saya kosong?
"Yang udah biasa pake FinBuddy, cara input pengeluaran per produk itu gimana sih?",Cara masukkan pengeluaran per item?,Apa yang harus dilakukan kalau dashboard gak muncul?
"Halo min, kalau mau pilih kategori pas catat pengeluaran di FinBuddy itu gimana caranya?",Cara pilih kategori pengeluaran?,Apa itu FinBuddy?
"Ada yang tau gak, biar bisa set kategori buat belanja bulanan di aplikasi ini?",Cara pilih kategori pengeluaran?,FinBuddy itu apa sih?
"Mau tanya nih, cara masukin pengeluaran sambil pilih kategorinya klik di mana ya?",Cara pilih kategori pengeluaran?,"Bro, FinBuddy itu apaan?"
"Yang udah pernah atur kategori pengeluaran di FinBuddy, bisa kasih tau langkahnya?",Cara pilih kategori pengeluaran?,Apa fungsi utama FinBuddy?
"Bro, aku bingung nih. Gimana cara pilih kategori biar pengeluaranku rapi di data?",Cara pilih kategori pengeluaran?,Apakah FinBuddy berbayar?
"Halo min, kok pas aku catat pengeluaran eh malah ilang lagi, padahal udah klik simpan?",Kenapa data pengeluaran saya gak tersimpan?,Cara daftar di FinBuddy gimana?
"Ada yang ngalamin gak, pas input pengeluaran tapi nggak ketaruh di riwayat? Kenapa ya?",Kenapa data pengeluaran saya gak tersimpan?,Bagaimana prosedur registrasi akun di FinBuddy?
"Masih bingung nih, kok data belanjaku nggak nyimpen otomatis. Itu kenapa coba?",Kenapa data pengeluaran saya gak tersimpan?,"Bro, cara bikin akun di FinBuddy gmana sih?"
"Yang pake FinBuddy ada yang tau gak, kalau data pengeluaran gak tersimpan itu salahnya di mana?",Kenapa data pengeluaran saya gak tersimpan?,Gimana cara buat akun baru?
"Bro, aku udah input pengeluaran tapi pas balik lagi kok ilang. Emang harus klik apa lagi?",Kenapa data pengeluaran saya gak tersimpan?,"Kalau lupa password, apa yang harus dilakukan?"
"Halo min, gimana caranya liat riwayat transaksi masuk keluar di FinBuddy?",Cara lihat mutasi keuangan di FinBuddy?,Bagaimana cara mereset kata sandi akun?
"Ada yang tau gak, kalau mau cek mutasi uang di aplikasi FinBuddy itu masuk menu apa?",Cara lihat mutasi keuangan di FinBuddy?,Mode normal di rekomendasi maksudnya apa?
"Mau tanya nih, cara buka halaman mutasi keuangan di FinBuddy klik di mana ya?",Cara lihat mutasi keuangan di FinBuddy?,"Normal mode di FinBuddy apa, bro?"
"Yang udah pernah liat mutasi keuangan di FinBuddy, bisa kasih tau langkahnya?",Cara lihat mutasi keuangan di FinBuddy?,Apa itu mode mewah?
"Bro, aku nyari-nyari terus tapi kok nggak nemu fitur mutasinya. Boleh minta bantuan?",Cara lihat mutasi keuangan di FinBuddy?,Mode mewah di FinBuddy itu apa?
"Halo min, bisa jelasin gak mutasi keuangan di FinBuddy tuh maksudnya apa?",Mutasi keuangan di FinBuddy itu apa sih?,"Bro, mewah mode maksudnya apa?"
"Ada yang tau gak, istilah mutasi keuangan di aplikasi FinBuddy itu artinya gimana?",Mutasi keuangan di FinBuddy itu apa sih?,"Apa bedanya mode ngirit, normal, dan mewah?"
"Mau tanya nih, kalau mutasi keuangan di FinBuddy itu fitur buat apa ya?",Mutasi keuangan di FinBuddy itu apa sih?,Apa yang harus dilakukan jika login gagal?
"Yang udah pake FinBuddy, bisa jelasin gak apa itu mutasi keuangan di sana?",Mutasi keuangan di FinBuddy itu apa sih?,"Bro, akun FinBuddy gue gak bisa masuk, kenapa?"
"Bro, aku bingung nih. Mutasi keuangan di aplikasi ini maksudnya transaksi masuk keluar aja atau ada arti lain?",Mutasi keuangan di FinBuddy itu apa sih?,Cara lihat dashboard keuangan di FinBuddy?
"Halo min, gimana caranya liat saran tabungan di FinBuddy?",Cara akses rekomendasi tabungan?,Apa itu FinBuddy?
"Ada yang tau gak, fitur rekomendasi tabungan di FinBuddy tuh ada di mana?",Cara akses rekomendasi tabungan?,FinBuddy itu apa sih?
"Mau tanya nih, kalau mau buka rekomendasi tabungan di aplikasi ini kliknya di mana ya?",Cara akses rekomendasi tabungan?,"Bro, FinBuddy itu apaan?"
"Yang pernah liat rekomendasi tabungan di FinBuddy, bisa kasih tau cara bukanya?",Cara akses rekomendasi tabungan?,Apa fungsi utama FinBuddy?
"Bro, aku bingung nih. Cara dapetin saran buat nabung di FinBuddy itu gimana sih?",Cara akses rekomendasi tabungan?,Apakah FinBuddy berbayar?
"Halo min, bisa jelasin gak mode ngirit di FinBuddy tuh maksudnya apa?",Apa itu mode ngirit?,FinBuddy bayar apa gratis sih?
"Ada yang tau gak, istilah mode ngirit di aplikasi ini artinya gimana sih?",Apa itu mode ngirit?,Cara daftar di FinBuddy gimana?
"Mau tanya nih, kalau aktifin mode ngirit di FinBuddy, fungsinya buat apa aja?",Apa itu mode ngirit?,Bagaimana prosedur registrasi akun di FinBuddy?
"Yang udah coba mode ngirit, itu beneran bantu irit uang bulanan gak sih?",Apa itu mode ngirit?,"Bro, cara bikin akun di FinBuddy gmana sih?"
"Bro, aku liat ada mode ngirit di pengaturan. Itu fitur buat apa ya?",Apa itu mode ngirit?,Gimana cara buat akun baru?
"Halo min, bisa jelasin gak mode normal di FinBuddy tuh buat apa?",Apa itu mode normal?,"Kalau lupa password, apa yang harus dilakukan?"
"Ada yang tau gak, kalau pake mode normal di aplikasi ini bedanya sama mode lain gimana?",Apa itu mode normal?,Bagaimana cara mereset kata sandi akun?
"Mau tanya nih, fitur mode normal di FinBuddy itu maksudnya gimana sih?",Apa itu mode normal?,"Lupa kata sandi, dong, apa yang kudu dilakuin?"
"Yang belum pernah ganti mode, mode normal itu default-nya udah aktif ya?",Apa itu mode normal?,Cara ganti password FinBuddy gimana?
"Bro, aku bingung nih. Mode normal itu pengaturannya buat gaya hidup biasa aja atau ada fungsi khusus?",Apa itu mode normal?,Cara daftar di FinBuddy gimana?
"Halo min, mode mewah di FinBuddy tuh maksudnya apa ya? Buat apa aja fiturnya?",Apa itu mode mewah?,Bagaimana prosedur registrasi akun di FinBuddy?
"Ada yang tau gak, kalau aktifin mode mewah di aplikasi ini bedanya apa sama mode lain?",Apa itu mode mewah?,"Bro, cara bikin akun di FinBuddy gmana sih?"
"Mau nanya nih, mode mewah itu buat yang suka hidup borong-borong kali ya?",Apa itu mode mewah?,Gimana cara buat akun baru?
"Yang belum pernah coba, mode mewah di FinBuddy itu fungsinya buat pengelolaan uang gimana?",Apa itu mode mewah?,"Kalau lupa password, apa yang harus dilakukan?"
"Bro, kok ada mode mewah sih. Itu fitur buat orang yang suka belanja mahal-mahal ya?",Apa itu mode mewah?,Bagaimana cara mereset kata sandi akun?
"Halo min, bisa jelasin gak sih bedanya mode ngirit, normal, sama mewah di FinBuddy?","Apa bedanya mode ngirit, normal, dan mewah?","Lupa kata sandi, dong, apa yang kudu dilakuin?"
"Ada yang tau gak, kalau ganti-ganti mode di FinBuddy tuh bedanya apa aja antara ngirit, normal, sama mewah?","Apa bedanya mode ngirit, normal, dan mewah?",Cara ganti password FinBuddy gimana?
"Mau nanya nih, ketiga mode itu pengaruhnya ke pengelolaan uang gimana ya?","Apa bedanya mode ngirit, normal, dan mewah?",Cara daftar di FinBuddy gimana?
"Yang udah coba semua mode, emang ada bedanya gak sih rasanya pas pakai ngirit, normal, sama mewah?","Apa bedanya mode ngirit, normal, dan mewah?",Bagaimana prosedur registrasi akun di FinBuddy?
"Bro, kok ada tiga mode sih. Itu buat gaya hidup yang berbeda-beda ya? Boleh minta penjelasan dikit?","Apa bedanya mode ngirit, normal, dan mewah?","Bro, cara bikin akun di FinBuddy gmana sih?"
"Halo min, kok fitur rekomendasi tabungannya ilang ya? Aku udah cek berkali-kali tapi tetep aja nggak keluar",Kenapa rekomendasi tabungan saya gak muncul?,Gimana cara buat akun baru?
"Ada yang ngalamin gak, pas buka FinBuddy eh kok saran buat nabung nggak tampil-tampil?",Kenapa rekomendasi tabungan saya gak muncul?,"Kalau lupa password, apa yang harus dilakukan?"
"Mau tanya nih, kenapa rekomendasi tabunganku nggak ada padahal data keuangan udah lengkap?",Kenapa rekomendasi tabungan saya gak muncul?,Bagaimana cara mereset kata sandi akun?
"Yang pake FinBuddy ada yang tau gak, kalau rekomendasi tabungan gak muncul itu biasanya karena apa?",Kenapa rekomendasi tabungan saya gak muncul?,"Lupa kata sandi, dong, apa yang kudu dilakuin?"
"Bro, aku klik sana-sini tapi tetep aja rekomendasinya nggak ada. Emang harus nunggu berapa lama ya?",Kenapa rekomendasi tabungan saya gak muncul?,Cara ganti password FinBuddy gimana?
"Halo min, bisa jelasin gak FinBuddy tuh aplikasi buat apa?",FinBuddy itu apa sih?,Cara lihat mutasi keuangan di FinBuddy?
"Ada yang tau gak, FinBuddy itu aplikasi keuangan atau apa ya? Aku masih bingung ",FinBuddy itu apa sih?,Bagaimana cara cek riwayat transaksi keuangan?
"Mau nanya nih, FinBuddy itu buat ngatur uang bulanan aja atau ada fitur lain juga?",FinBuddy itu apa sih?,"Bro, mutasi keuangan di FinBuddy diliat dimana?"
"Yang udah pake FinBuddy, bisa kasih tau gak itu aplikasi buat apa dan buat siapa?",FinBuddy itu apa sih?,Gimana cara tahu transaksi terakhir?
"Bro, kok banyak orang pake FinBuddy akhir-akhir ini. Itu aplikasi jenis apa sih?",FinBuddy itu apa sih?,Apa itu mutasi keuangan?
"Halo min, FinBuddy tuh aplikasi berbayar atau gratisan ya?",FinBuddy bayar apa gratis sih?,Mutasi keuangan di FinBuddy itu apa sih?
"Ada yang tau gak, buat pake FinBuddy harus bayar langganan bulanan apa nggak?",FinBuddy bayar apa gratis sih?,"Bro, mutasi keuangan maksudnya apa?"
"Mau nanya nih, kalau download FinBuddy itu bebas biaya selamanya atau ada trial doang?",FinBuddy bayar apa gratis sih?,Cara akses rekomendasi tabungan?
"Yang udah pake FinBuddy, bisa kasih tau gak fitur premiumnya mahal gak?",FinBuddy bayar apa gratis sih?,Bagaimana cara melihat saran tabungan?
"Bro, aku pengen coba tapi takut pas daftar eh kena tagihan. Itu bener-bener gratis apa ada iklan atau pembelian dalam aplikasi?",FinBuddy bayar apa gratis sih?,"Kalau lupa password, apa yang harus dilakukan?"
"Halo min, kalau ada masalah di FinBuddy harus ngontak CS-nya lewat mana ya?",Bagaimana cara hubungi support FinBuddy?,Bagaimana cara mereset kata sandi akun?
"Ada yang tau gak, biar bisa chat langsung sama tim support FinBuddy itu caranya gimana?",Bagaimana cara hubungi support FinBuddy?,"Lupa kata sandi, dong, apa yang kudu dilakuin?"
"Mau tanya nih, kalau pengen komplain atau minta bantuan ke FinBuddy, kontaknya ada di mana?",Bagaimana cara hubungi support FinBuddy?,Cara ganti password FinBuddy gimana?
"Yang pernah ngomunikasiin error ke FinBuddy, bisa kasih tau gak cara ngontak mereka?",Bagaimana cara hubungi support FinBuddy?,Bagaimana prosedur mengganti kata sandi?
"Bro, aplikasinya error terus dan mau lapor. Itu bisa lewat email atau media apa ya?",Bagaimana cara hubungi support FinBuddy?,"Bro, ganti password di FinBuddy caranya apa?"
"Halo min, kok websitenya lemot banget ya hari ini? Ada solusi gak biar cepet lagi?",Apa yang dilakukan kalau website lambat?,Cara ubah profil di FinBuddy?
Lagi bermasalah gak sama website FinBuddy? Aku buka aja loadingnya lama banget,Apa yang dilakukan kalau website lambat?,Cara daftar di FinBuddy gimana?
"Mau nanya nih, kalau website FinBuddy tiba-tiba lelet, biasanya apa yang harus dilakukan?",Apa yang dilakukan kalau website lambat?,Bagaimana prosedur registrasi akun di FinBuddy?
"Yang pernah ngalamin website lemot di FinBuddy, ada tips gak biar balik lancar?",Apa yang dilakukan kalau website lambat?,"Bro, cara bikin akun di FinBuddy gmana sih?"
"Bro, kok pas dibuka web FinBuddy malah nge-lag. Itu masalah jaringan atau server ya?",Apa yang dilakukan kalau website lambat?,Gimana cara buat akun baru?
"Halo min, bisa jelasin gak fitur rekomendasi di FinBuddy tuh buat apa aja?",Rekomendasi gunanya apa?,"Kalau lupa password, apa yang harus dilakukan?"
"Ada yang tau gak, kenapa ada fitur rekomendasi di FinBuddy? Bantu ngatur keuangan gimana?",Rekomendasi gunanya apa?,"Bro, ganti password di FinBuddy caranya apa?"
"Mau tanya nih, kalau ikutin rekomendasinya beneran bantu irit uang bulanan gak sih?",Rekomendasi gunanya apa?,Cara ubah profil di FinBuddy?
"Yang udah pake fitur rekomendasi, itu beneran berguna buat pengeluaran sehari-hari apa cuma iseng aja?",Rekomendasi gunanya apa?,Bagaimana mengedit data profil pengguna?
"Bro, kok ada rekomendasi di FinBuddy. Itu sistemnya ngasih saran otomatis ya?",Rekomendasi gunanya apa?,"Gimana cara update profil, bro?"
"Halo min, kalau lagi di tempat yang nggak ada sinyal, bisa tetep pake FinBuddy gak ya?",Apa FinBuddy bisa digunakan secara offline?,Kenapa gak bisa login ke akun?
"Ada yang tau gak, aplikasi FinBuddy ini bisa dipake tanpa internet atau harus online terus?",Apa FinBuddy bisa digunakan secara offline?,Apa yang harus dilakukan jika login gagal?
"Mau nanya nih, kalau pergi naik gunung terus pengen catat pengeluaran, bisa pake FinBuddy offline?",Apa FinBuddy bisa digunakan secara offline?,"Bro, akun FinBuddy gue gak bisa masuk, kenapa?"
"Yang udah coba, FinBuddy ini kerjaannya di server atau ada mode offline-nya juga?",Apa FinBuddy bisa digunakan secara offline?,Cara lihat dashboard keuangan di FinBuddy?
"Bro, aku sering ke daerah blankspot. Itu FinBuddy bisa dipake pas offline atau mesti tunggu ketemu sinyal dulu?",Apa FinBuddy bisa digunakan secara offline?,"Apa itu label hemat, sedang, boros?"
"Eh, data kita di Finbuddy aman nggak sih?",Apakah data pengguna aman di FInbuddy?,Label keuangan di dashboard artinya apa?
"Aduh, kalau pake Finbuddy, data pribadi kita aman nggak ya?",Apakah data pengguna aman di FInbuddy?,"Hemat, sedang, boros itu maksudnya apa, bro?"
"Jadi penasaran, Finbuddy itu beneran jaga data penggunanya nggak ya?",Apakah data pengguna aman di FInbuddy?,Apa maksud pie chart di dashboard?
"Kalau ganti HP, login ke Finbuddy-nya gimana ya?",Bagaimana cara login jika saya berganti perangkat?,Pie chart di FinBuddy itu apa sih?
"Misal aku pindah perangkat, bisa langsung login lagi nggak sih?",Bagaimana cara login jika saya berganti perangkat?,"Bro, grafik pie di dashboard ngapain?"
"Waduh, kalo HP ilang atau ganti, aku masih bisa masuk Finbuddy nggak?",Bagaimana cara login jika saya berganti perangkat?,Kenapa dashboard saya kosong?
