Pertanyaan,Jawaban
Cara akses rekomendasi tabungan?,"Buka 'Rekomendasi Tabungan', pilih mode ngirit, normal, atau mewah untuk lihat saran."
Bagaimana cara melihat saran tabungan?,"Buka 'Rekomendasi Tabungan', pilih mode ngirit, normal, atau mewah untuk lihat saran."
"Bro, fitur rekomendasi di FinBuddy dibuka gimana?","Buka 'Rekomendasi Tabungan', pilih mode ngirit, normal, atau mewah untuk lihat saran."
Gimana cara cek saran keuangan?,"Buka 'Rekomendasi Tabungan', pilih mode ngirit, normal, atau mewah untuk lihat saran."
Apa itu mode ngirit?,"Mode ngirit memberikan estimasi anggaran ketat untuk kebutuhan pokok, tabungan, dan investasi."
Mode ngirit di FinBuddy artinya apa?,"Mode ngirit memberikan estimasi anggaran ketat untuk kebutuhan pokok, tabungan, dan investasi."
"Bro, ngirit mode itu apa sih?","Mode ngirit memberikan estimasi anggaran ketat untuk kebutuhan pokok, tabungan, dan investasi."
Apa itu mode normal?,"Mode normal memberikan anggaran seimbang untuk kebutuhan, keinginan, dan tabungan."
Mode normal di rekomendasi maksudnya apa?,"Mode normal memberikan anggaran seimbang untuk kebutuhan, keinginan, dan tabungan."
"Normal mode di FinBuddy apa, bro?","Mode normal memberikan anggaran seimbang untuk kebutuhan, keinginan, dan tabungan."
Apa itu mode mewah?,"Mode mewah mengutamakan keinginan, dengan alokasi lebih besar untuk gaya hidup."
Mode mewah di FinBuddy itu apa?,"Mode mewah mengutamakan keinginan, dengan alokasi lebih besar untuk gaya hidup."
"Bro, mewah mode maksudnya apa?","Mode mewah mengutamakan keinginan, dengan alokasi lebih besar untuk gaya hidup."
"Apa bedanya mode ngirit, normal, dan mewah?","Ngirit fokus kebutuhan pokok, normal seimbang, mewah prioritaskan keinginan."
"Bagaimana perbedaan mode ngirit, normal, mewah?","Ngirit fokus kebutuhan pokok, normal seimbang, mewah prioritaskan keinginan."
"Bro, beda ngirit, normal, mewah apa sih?","Ngirit fokus kebutuhan pokok, normal seimbang, mewah prioritaskan keinginan."
Kenapa rekomendasi tabungan saya gak muncul?,Pastikan Anda sudah input data pemasukan dan pengeluaran di menu 'Input Data'.
Apa yang dilakukan kalau saran tabungan gak keluar?,Pastikan Anda sudah input data pemasukan dan pengeluaran di menu 'Input Data'.
"Bro, rekomendasi gue gak muncul, kenapa?",Pastikan Anda sudah input data pemasukan dan pengeluaran di menu 'Input Data'.
Apa itu FinBuddy?,"FinBuddy adalah platform untuk mengelola keuangan pribadi dengan dashboard, mutasi, dan rekomendasi."
FinBuddy itu apa sih?,"FinBuddy adalah platform untuk mengelola keuangan pribadi dengan dashboard, mutasi, dan rekomendasi."
"Bro, FinBuddy itu apaan?","FinBuddy adalah platform untuk mengelola keuangan pribadi dengan dashboard, mutasi, dan rekomendasi."
Apa fungsi utama FinBuddy?,"FinBuddy adalah platform untuk mengelola keuangan pribadi dengan dashboard, mutasi, dan rekomendasi."
Apakah FinBuddy berbayar?,"FinBuddy menawarkan fitur gratis, tetapi ada langganan premium untuk fitur tambahan."
FinBuddy bayar apa gratis sih?,"FinBuddy menawarkan fitur gratis, tetapi ada langganan premium untuk fitur tambahan."
"Bro, pake FinBuddy kudu bayar gak?","FinBuddy menawarkan fitur gratis, tetapi ada langganan premium untuk fitur tambahan."
Bagaimana cara hubungi support FinBuddy?,Kirim email ke support@finbuddy.com atau gunakan fitur chat di website.
Cara kontak tim FinBuddy gimana?,Kirim email ke support@finbuddy.com atau gunakan fitur chat di website.
"Bro, kalau ada masalah, hubungin siapa?",Kirim email ke support@finbuddy.com atau gunakan fitur chat di website.
Kenapa website FinBuddy lemot?,"Coba refresh halaman atau bersihkan cache browser. Jika masih lemot, hubungi support."
Apa yang dilakukan kalau website lambat?,"Coba refresh halaman atau bersihkan cache browser. Jika masih lemot, hubungi support."
"Bro, FinBuddy kok nge-lag, kenapa?","Coba refresh halaman atau bersihkan cache browser. Jika masih lemot, hubungi support."
Ini ada fitur apa aja?,"Ada fitur rekomendasi tabungan, fitur jenis kebiasaan perilaku, dashboard report "
Rekomendasi gunanya apa?,Membantu user agar dapat melihat dan memproporsikan keuangan mereka
Apa FinBuddy bisa digunakan secara offline?,"Tidak, aplikasi membutuhkan koneksi internet untuk sinkronisasi data"
Apakah data pengguna aman di FInbuddy?,"Aman, karena FinBuddy tidak menyimpan data pengguna secara permanen"
Bagaimana cara login jika saya berganti perangkat?,Cukup masukan email dan kata sandi baru di perangkat baru
